Incident_ID,schoolaffiliation,age_cat,shooterdied
19950829TXMEL,Student,,No
19950912TNCYM,Student,Teen,No
19950914KSOLO,Rival School Student,Teen,No
19950915KYGEW,Student,Teen,No
19950927ALBLP,Relative,Teen,No
19950929FLTAT,Student,Teen,No
19951012SCBLB,Student,Teen,Yes
19951023FLLAC,Student,Teen,No
19951030VAJOR,Student,Teen,No
19951102FLBLM,No Relation,Adult,Yes
19951115TNRIL,Student,Teen,No
19951128NYTHN,Unknown,,No
19960102PAGIG,Unknown,Teen,Yes
19960119DCWIW,Unknown,Teen,No
19960126TNEAM,Nonstudent Using Athletic Facilities/Attending Game,Adult,No
19960202WAFRM,Student,Teen,No
19960208CAMIM,Student,Teen,Yes
19960222GAJES,Student,Teen,No
19960229MOBES,Hitman,,No
19960311NCNON,Student,Teen,Yes
19960319NVSWL,Student,Teen,No
19960411ALTAT,Student,Teen,No
19960415DCMCW,Unknown,,No
19960514UTBIT,Student,Teen,Yes
19960522CACOC,Former Student,Teen,No
19960604CAWEH,Student,Teen,Yes
19960726CAJOL,Student,Teen,No
19960925GADED,Student,Teen,No
19961002PASMP,Parent,Adult,No
19961004CASTP,Student,Teen,No
19961009ARJAS,Student,Teen,No
19961014MOSUS,Student,Teen,No
19961127CAHIS,Police Officer/SRO,,No
19970108NYCRN,Rival School Student,Teen,No
19970108NYCRN,Rival School Student,Teen,No
19970108NYCRN,Rival School Student,,No
19970127FLCOW,Student,Teen,No
19970206MSWIJ,Student,Teen,No
19970213NYMOB,Student,Teen,No
19970213NYSAB,Student,Teen,No
19970219AKBEB,Student,Teen,No
19970220FLFIJ,Student,Teen,Yes
19970221NVRAL,Unknown,Teen,No
19970317MIPED,Student,Teen,No
19970403CAMAM,Unknown,,No
19970428CAJOL,Student,Teen,No
19970430NYCIN,Unknown,,No
19970513FLNOM,Student,Teen,No
19970520OHDUD,Student,Teen,No
19970624ALJEM,Student,Teen,No
19971001MSPEP,Student,Teen,No
19971005OKMOO,Unknown,,No
19971010INWAG,Former Student,Teen,No
19971014TXLAG,Student,Teen,Yes
19971015FLLIP,Student,Teen,No
19971020CAMCO,Unknown,,No
19971022CAJON,Former Student,,Yes
19971107FLRIJ,Student,Teen,No
19971113CACRS,Relative,Adult,No
19971201KYHEW,Student,Teen,No
19971215ARSTS,Student,Teen,No
19980212NJHOH,Intimate Relationship,Adult,Yes
19980225MIRER,Student,Teen,Yes
19980227VAMAF,Unknown,Teen,No
19980324ARWEJ,Student,Child,No
19980324ARWEJ,Student,Teen,No
19980325CAFED,Student,Teen,No
19980325MICOC,Student,Teen,Yes
19980330NCGRC,Student,Teen,Yes
19980331WIOAO,Student,Teen,No
19980423CACUL,Unknown,,No
19980424PAPAE,Student,Teen,No
19980428CAPHP,No Relation,Teen,No
19980428WIPAP,No Relation,Teen,No
19980501FLNOM,Unknown,Teen,No
19980501NYPUB,Police Officer/SRO,Adult,No
